Date,Kind,Name,Address,City,State,Notes
2026-02-09,Fuel,Maverik #600,784 W Wickenburg Way,Wickenburg,AZ,Optional morning fill so you leave Gambit Trail near‑full.
2026-02-09,Fuel,Love’s Travel Stop (Pilot alt.),14414 S Cross L Rd,Mayer,AZ,First fuel after AZ‑74→I‑17N (Exits 262–263).
2026-02-09,Fuel,Speedy’s Super Fuels,850 Navajo Blvd,Holbrook,AZ,Short refill or push to Winslow if fresh.
2026-02-10,Fuel,Conoco,4000 E Tucumcari Blvd,Tucumcari,NM,Top‑off before Plains cross‑winds.
2026-02-10,Fuel,Love’s Travel Stop #632,1000 E Pancake Blvd,Liberal,KS,Good overnight node.
2026-02-11,Fuel,Casey’s,1402 E 6th Ave,Emporia,KS,Lunch/shower/snooze optional.
2026-02-11,Fuel,Flying J #913,3231 Adventureland Dr,Altoona,IA,Fuel before short final hop to Cedar Rapids.
2026-02-09,Risk,Grade & Temps,—,Black Canyon City,AZ,"If temp<32°F or freezing rain forecast, delay departure; fuel at Cordes Lakes if <1/2 tank."
2026-02-10,Risk,Wind & Black‑Ice,—,Holbrook/Tucumcari,AZ/NM,"If wind>20 mph (N/W) or wet‑bulb freezing, avoid night driving; consider Holbrook or Tucumcari stop."
2026-02-10,Risk,Cross‑winds & Drifts,—,Dalhart/Liberal,TX/KS,"If cross‑winds>25 mph or blowing snow, fuel early at Liberal; reduce cruise; watch slush ridges."
2026-02-10,Hotel,Comfortable,—,Tucumcari,NM,Shower + quiet; late check‑in preferred.
2026-02-10,Hotel,Family/Pet‑Friendly,—,Tucumcari,NM,Easy parking; pet‑friendly policies.
2026-02-10,Hotel,Jack Reacher,—,Tucumcari,NM,"No‑frills, park‑at‑door, fast exit."
2026-02-10,Hotel,Comfortable,—,Liberal,KS,Shower + quiet; late check‑in preferred.
2026-02-10,Hotel,Family/Pet‑Friendly,—,Liberal,KS,Easy parking; pet‑friendly policies.
2026-02-10,Hotel,Jack Reacher,—,Liberal,KS,"No‑frills, park‑at‑door, fast exit."
2026-02-11,Hotel,Comfortable,—,Emporia,KS,Shower + quiet; late check‑in preferred.
2026-02-11,Hotel,Family/Pet‑Friendly,—,Emporia,KS,Easy parking; pet‑friendly policies.
2026-02-11,Hotel,Jack Reacher,—,Emporia,KS,"No‑frills, park‑at‑door, fast exit."
