"type","count","disk_space"
".pack","3","87817467"
".md","364","8683297"
"[noext]","1409","5084300"
".pdf","3","2782915"
".lock","9","1697982"
".pyc","100","1543790"
".idx","3","1318824"
".py","167","1220707"
".ts","189","1202556"
".png","5","857113"
".json","51","540582"
".jpg","1","286724"
".rev","3","188100"
".ps1","30","152913"
".txt","13","139131"
".sample","54","98140"
".yaml","47","68147"
".yml","15","60918"
".gitignore","8","17838"
".csv","7","11550"
".jsonl","3","11202"
".toml","10","10311"
".log","3","7897"
".cmd","1","896"
".code-workspace","1","503"
".npmrc","3","306"
".tag","1","191"
".gitkeep","1","155"
".gitattributes","3","129"
".prettierignore","3","123"
".python-version","9","54"
".typed","3","0"
